Median energy [keV],Density,RunPeriod,Interval
3.2492492,23.295801,17/02/2018,30
3.2512513,23.1043,17/02/2018,30
3.2532533,22.911265,17/02/2018,30
3.2552553,22.716403,17/02/2018,30
3.2572573,22.519462,17/02/2018,30
3.2592593,22.32023,17/02/2018,30
3.2612613,22.118532,17/02/2018,30
3.2632633,21.914235,17/02/2018,30
3.2652653,21.707245,17/02/2018,30
3.2672673,21.497509,17/02/2018,30
3.2692693,21.285008,17/02/2018,30
3.2712713,21.069763,17/02/2018,30
3.2732733,20.851825,17/02/2018,30
3.2752753,20.631281,17/02/2018,30
3.2772773,20.408244,17/02/2018,30
3.2792793,20.182857,17/02/2018,30
3.2812813,19.955282,17/02/2018,30
3.2832833,19.725708,17/02/2018,30
3.2852853,19.494336,17/02/2018,30
3.2872873,19.261386,17/02/2018,30
3.2892893,19.027089,17/02/2018,30
3.2912913,18.791684,17/02/2018,30
3.2932933,18.555418,17/02/2018,30
3.2952953,18.31854,17/02/2018,30
3.2972973,18.081301,17/02/2018,30
3.2992993,17.843952,17/02/2018,30
3.3013013,17.60674,17/02/2018,30
3.3033033,17.369907,17/02/2018,30
3.3053053,17.133688,17/02/2018,30
3.3073073,16.898311,17/02/2018,30
3.3093093,16.663993,17/02/2018,30
3.3113113,16.430943,17/02/2018,30
3.3133133,16.199355,17/02/2018,30
3.3153153,15.969415,17/02/2018,30
3.3173173,15.741293,17/02/2018,30
3.3193193,15.515148,17/02/2018,30
3.3213213,15.291125,17/02/2018,30
3.3233233,15.069354,17/02/2018,30
3.3253253,14.849954,17/02/2018,30
3.3273273,14.633029,17/02/2018,30
3.3293293,14.418669,17/02/2018,30
